Project,Expense,Budget Line,Vendor Name,Amount,Date,Start Date,End Date
Security Enhancement,Marketing,Professional Development,Training Inc.,1560,2024-02-27,,
Data Center Optimization,Operational Tools,Capital Expenditure,Server Vendor,2827,2024-01-01,,
DevOps Transformation,Facilities,Travel,Airline/Hotel,3920,2024-04-20,,
Data Center Optimization,Hardware Procurement,Travel,Hardware Vendor,801,2024-02-03,,
Data Center Optimization,Cloud Services,Operating Expenses,AWS,1106,2024-04-05,2024-04-01,2025-03-31
Infrastructure Upgrade,Marketing,Security,Marketing Agency,3670,2024-04-27,,
DevOps Transformation,Marketing,Travel,Airline/Hotel,1199,2024-02-17,,
DevOps Transformation,Facilities,Professional Services,Consulting Co.,5588,2024-03-29,2024-03-01,2024-05-31
DevOps Transformation,Software Licenses,Professional Development,Atlassian,9831,2024-04-13,2024-01-01,2024-12-31
Data Center Optimization,Consulting Fees,Professional Development,Consulting Co.,690,2024-04-18,,
Security Enhancement,Facilities,Professional Services,Security Services Ltd,1480,2024-04-26,2024-04-01,2024-06-30
DevOps Transformation,Travel Expenses,Professional Services,Airline/Hotel,3475,2024-01-01,,
Data Center Optimization,Consulting Fees,Professional Services,Consulting Co.,6602,2024-01-16,2024-01-01,2024-03-31
Infrastructure Upgrade,Cloud Services,Professional Development,AWS,1684,2024-03-01,2024-03-01,2025-02-28
Security Enhancement,Consulting Fees,Marketing,Consulting Co.,3827,2024-04-12,,
Infrastructure Upgrade,Software Licenses,Professional Development,Microsoft,3894,2024-03-04,2024-03-01,2025-02-28
Security Enhancement,Consulting Fees,Security,Security Consulting,8819,2024-03-03,2024-03-01,2024-08-31
Data Center Optimization,Cloud Services,Operating Expenses,Azure,2316,2024-03-09,2024-03-01,2025-02-28
Cloud Migration,Software Licenses,Facilities,Salesforce,6354,2024-01-22,2024-01-01,2024-12-31
Security Enhancement,Security Audits,Marketing,Audit Firm,7209,2024-04-02,,
Infrastructure Upgrade,Marketing,Capital Expenditure,Hardware Vendor,1069,2024-04-28,,
Data Center Optimization,Marketing,Facilities,Building Mgmt,5942,2024-03-07,,
Security Enhancement,Operational Tools,Operating Expenses,Monitoring Tool Vendor,2395,2024-03-16,2024-03-01,2025-02-28
Cloud Migration,Security Audits,Security,Audit Firm,3233,2024-01-26,,
Cloud Migration,Security Audits,Security,Audit Firm,4363,2024-01-16,,
DevOps Transformation,Consulting Fees,Capital Expenditure,Consulting Co.,7955,2024-02-20,,
DevOps Transformation,Marketing,Marketing,Marketing Agency,4514,2024-04-10,,
Infrastructure Upgrade,Cloud Services,Professional Services,Google Cloud,2186,2024-03-26,2024-03-01,2024-05-31
Security Enhancement,Training,Marketing,Training Inc.,3509,2024-02-26,,
Security Enhancement,Training,Security,Training Inc.,8306,2024-01-29,,
DevOps Transformation,Software Licenses,Professional Development,Adobe,654,2024-03-18,2024-03-01,2025-02-28
Security Enhancement,Marketing,Operating Expenses,Marketing Agency,1909,2024-04-01,,
Security Enhancement,Marketing,Capital Expenditure,Equipment Vendor,1284,2024-03-09,,
Cloud Migration,Training,Operating Expenses,Training Inc.,8596,2024-02-16,,
DevOps Transformation,Marketing,Technology,Tech Vendor,8060,2024-04-22,,
